"id";"momentary_wellbeing_angry_ema";"momentary_wellbeing_worried_ema";"momentary_wellbeing_happy_ema";"momentary_wellbeing_sad_ema";"momentary_wellbeing_stressed_ema";"momentary_wellbeing_lonely_ema";"momentary_wellbeing_accepted_ema";"momentary_context_activity_ema";"momentary_context_social_media_ema"
"SP21_M4TKV4EY52J3";1;2;2;2;3;2;4;"2";NA
"SP21_DN94U0QZ4VK9";1;1;3;1;4;1;2;"1,2,4,5";2
"SP21_DJJNDIXTZ2E2";1;3;3;1;4;1;4;"2";NA
"SP21_ALSZ0CYMBS2T";1;1;3;1;2;1;4;"8,9,18";NA
"SP21_YYVO4SET3V7B";1;3;2;1;4;1;3;"2";NA
"SP21_6PWRL3IVJESM";1;2;3;1;2;1;3;"2,5,9,12,18";1
"SP21_AXL3BZCJ2O9C";1;3;2;1;4;1;2;"1,5";1
"SP21_2YH2ES217IKB";1;3;2;1;4;2;3;"2,4,5,8";3
"SP21_OHHVJWBC7FS4";3;2;4;1;3;1;4;"2";NA
"SP21_GRFO3X0BKNYU";1;1;3;1;2;1;3;"2,5,13,15";1
"SP21_92IYM16WBWP7";1;1;3;1;2;2;3;"2,4,5,11,13,18";1
"SP21_NFR32LWS8QV5";2;4;1;4;4;4;2;"6";NA
"SP21_WW9UNRMCJ39X";1;1;4;1;2;1;4;"1,5,12";1
"SP21_FLYFMQBSIB6Z";1;2;2;2;3;2;2;"1,2,8";NA
"SP21_TX3AYZ3B9BQQ";3;4;2;2;4;3;2;"1,2,5";2
"SP21_NG3TGNUQ5AKJ";2;2;2;2;3;2;2;"15";NA
"SP21_H3Q3YZ876T45";1;2;2;1;3;3;2;"1,2,4,5,12";1
"SP21_LDQC9NWQP587";1;1;3;1;2;1;2;"2,6,18";NA
"SP21_ZILI3B5XRX62";1;2;3;3;3;3;3;"13";NA
"SP21_A5J3HJP2QHAB";1;2;3;1;2;2;2;"11";NA
"SP21_C9W0GD55TORF";2;3;2;2;4;2;2;"2";NA
"SP21_RXTB6M0PYJ3P";1;2;1;1;3;1;4;"2,4";NA
"SP21_78D23YJJ5NF3";1;1;4;1;2;1;4;"6,18";NA
"SP21_GTCIE2INGMRL";1;2;3;1;3;2;4;"1,2,4,5,12,18";1
"SP21_ISNHI84RCTLX";1;2;2;1;2;2;2;"2,4,5,18";2
"SP21_WQSEYAK3H6ZH";1;1;3;1;1;2;2;"2,5,9,18";1
"SP21_BZZ6CS08M872";1;2;2;1;3;1;3;"1,2,4,5,12,18";1
"SP21_GXA27XZ2WCPZ";2;3;2;3;4;3;3;"4,5,12,15";3
"SP21_JSLVMPNZY66J";2;4;1;3;4;2;2;"1,2,5,6";2
"SP21_PC2209H6UI16";2;4;2;4;4;2;3;"4,5,9,18";1
"SP21_74OSDLVDGQOA";1;3;3;1;3;2;2;"2,5,11,12";1
"SP21_ADTQ20ER59LY";2;4;3;3;3;4;2;"4,5";2
"SP21_WW9UNRMCJ39X";1;1;4;1;1;1;4;"4,5,19";2
"SP21_ALSZ0CYMBS2T";1;1;3;1;2;1;4;"10,18";NA
"SP21_NI9X547PR3Y9";1;1;3;2;2;2;2;"2,5,15";2
"SP21_ZB3TPQH6NC7B";1;2;3;2;2;3;2;"4,5,6,7,10,18";1
"SP21_ZAHA6CLYYF8Q";1;2;3;1;2;1;3;"9,18";NA
"SP21_MQ92XHZ602TR";1;1;1;1;1;1;1;"4,11,15,18";NA
"SP21_NFR32LWS8QV5";4;4;1;4;4;4;1;"18";NA
"SP21_R0B7T8PTH633";1;2;1;1;2;2;1;"15";NA
